gene,progenitor,constraint
Rps6,1.0,0
Eef2,1.0,0
Klf2,1.0,0
Ep300,1.0,0
Runx3,1.0,0
Tbx21,1.0,0
Rpl12,0.8133368561532494,1
mt-Co3,0.813336634022634,1
Rpl14,0.8133364409651516,1
Cd52,0.8133364169554171,1
Hspa8,0.8133358709926837,1
Rpl24,0.8133357716629037,1
Rps27,0.813335399712727,1
Rpl6,0.8133348923739866,1
Nkg7,0.8133348094298968,1
Rpl3,0.8133347803102094,1
Ubb,0.8133344756968327,1
Rpl38,0.8133344732884918,1
H2-D1,0.8133343679241287,1
mt-Co1,0.8133343377143343,1
Rpl29,0.8133342286963264,1
Rpl10,0.8133341961974436,1
Rps21,0.8133340913177298,1
B2m,0.8133340605080114,1
AW112010,0.8133337559090491,1
Rps28,0.8133336356047579,1
Gapdh,0.8133336209137961,1
Gm42418,0.8133334908964326,1
Rpl26,0.8133334863405141,1
Rpl13a,0.8133333446529798,1
Rpl10a,0.8133333302126697,1
Hsp90ab1,0.8133332948814633,1
H2-K1,0.813333292568252,1
Rps3,0.813333257481815,1
Rpl15,0.8133332359819955,1
Rpl9,0.8133331961248711,1
Rps14,0.8133331802746441,1
Rpl8,0.8133329778227308,1
Ptma,0.8133329613797408,1
Rpl35a,0.8133329020778102,1
Rps29,0.8133328851442345,1
Rps19,0.8133328175095756,1
Rplp2,0.813332770932628,1
Rpl36,0.8133327306417565,1
Rpl35,0.8133327272682243,1
Rps9,0.8133327229721942,1
Rps23,0.813332614035272,1
Rpl21,0.8133325873537822,1
Rps4x,0.8133324838799213,1
Rpl30,0.8133324783136368,1
Rpl17,0.8133324546094155,1
Rpl27,0.8133324502855033,1
Rps18,0.8133324458071852,1
Rpl11,0.8133324185483084,1
Lgals1,0.813332405233221,1
Rps3a1,0.8133323822022049,1
Rpl18,0.8133323809774097,1
Rpl19,0.8133323585083857,1
Rps5,0.813332344683521,1
Rps7,0.8133323343562018,1
Rps12,0.8133323217888242,1
Rps27a,0.8133322378159809,1
Rpl37,0.8133321655864628,1
Rpl28,0.8133321485088468,1
Rpl37a,0.8133321186444089,1
Rpl27a,0.8133321168993178,1
Rps11,0.8133321022181763,1
Rpl18a,0.8133320848843855,1
Rplp1,0.8133320287162152,1
Rps2,0.813332027764022,1
Pfn1,0.8133319984594517,1
Rps13,0.8133319963695936,1
Rps10,0.8133319903505614,1
Rpl34,0.8133319881661878,1
Ppia,0.8133319763135107,1
Rpl39,0.8133319318337272,1
Rps16,0.8133318891988175,1
Rplp0,0.8133318281407278,1
Rpl23,0.813331823361473,1
Rps20,0.8133317835181257,1
Rps26,0.8133317674993354,1
Actg1,0.8133317366853833,1
Rpsa,0.8133317249476258,1
Rpl32,0.8133316893625862,1
Rps24,0.8133316767855301,1
Fau,0.813331643870254,1
Rps8,0.8133316115790465,1
Eef1a1,0.8133315769252124,1
Tmsb10,0.8133315637269504,1
Rpl41,0.8133315502007252,1
Rpl13,0.8133315367226558,1
Actb,0.8133315162583691,1
Rps15a,0.8133314108417242,1
Tmsb4x,0.8133313690453715,1
Isy1,0.8000000582106427,0
Serinc3,0.7999994840665982,0
Tgfb1,0.7666665244094494,1
Psmb10,0.7534249499632892,1
Tmem256,0.7534247000594287,1
Tomm22,0.7534246471061572,1
D8Ertd738e,0.7534246116549466,1
Ostc,0.7534245473844811,1
Plek,0.7534244955850278,1
Leprotl1,0.7534244554643302,1
H2-Q4,0.7534244311382109,1
Selenof,0.753424415359089,1
Ghitm,0.7435898403316091,1
Cd3g,0.7039817741093067,1
Ccl5,0.7039808217099923,1
S100a6,0.703979878204332,1
Rpl7a,0.6905453117467013,1
Rack1,0.6905452182719084,1
Rpl22,0.690545168883123,1
Rpl36a,0.6905446698611615,1
mt-Co2,0.690544486556248,1
Fth1,0.690544318644714,1
Uba52,0.6905443042612681,1
Eif1,0.6905441020487996,1
Cfl1,0.6905433677411027,1
Myl6,0.6905432079322555,1
Cox8a,0.6905430764300622,1
Naca,0.6905429538393103,1
Gzmb,0.6905424329088602,1
H3f3b,0.6905424328762672,1
Sh3bgrl3,0.690542405217819,1
Npm1,0.6905423631738508,1
S100a11,0.6905420130358025,1
Coro1a,0.6905417817831372,1
Hilpda,0.6905417422010597,1
Ldha,0.6905416125467446,1
Rpl5,0.690541590587148,1
Rpl4,0.6905414801670314,1
Atp5e,0.6905414457518534,1
Cox4i1,0.6905408900326417,1
mt-Cytb,0.6905406680355578,1
Spp1,0.6905400942050369,1
Mif,0.6905399435047167,1
Aldoa,0.6905398754572382,1
Rps15,0.6905393021791246,1
Calm1,0.6905392757969043,1
Eef1b2,0.6905391963340011,1
Crip1,0.6905384565305833,1
Rbm3,0.6905380908784857,1
Rps17,0.690537196274769,1
Tsc22d3,0.6888619869563561,1
Dgkz,0.6888619833903543,1
Wac,0.6888619826151305,1
Pik3r1,0.6888619798616255,1
Prpf8,0.6874040232653915,1
Ier5l,0.6780552555407326,1
Rgs2,0.6780551756851728,1
Cebpb,0.6748256940925765,1
Ndufb10,0.6748255661098826,1
Ctsb,0.6748252778336828,1
Batf,0.6666666666666666,0
Foxm1,0.6428571428571429,1
Irf1,0.6200913768231234,1
Itgal,0.6109186777958259,1
Os9,0.6109186658628661,1
Sin3b,0.6102564076282067,1
G3bp2,0.6102563437599774,1
Mt2,0.6102563381669619,1
Yy1,0.6,1
Ube2v1,0.5983859268700137,1
Prpf38b,0.5963081912330942,1
Hnrnpul1,0.5963081603133913,1
Gpbp1,0.5878081706198558,1
Edem1,0.5878081676606789,1
Tpp2,0.5878081521055258,1
Arhgap30,0.582022429023155,1
Nfatc1,0.574402674774948,1
Ralbp1,0.5603169675484797,1
Cyb5a,0.5603169569051382,1
Atp8b4,0.558459136590043,1
P2ry10,0.5557491406625906,1
Ddx6,0.5557491199485812,1
Park7,0.5534258804991652,1
Psma4,0.5534250946493918,1
Tmed9,0.5534250210527497,1
Sdhb,0.5534250149922526,1
Ppp2ca,0.5534249708909997,1
Gm26917,0.5534249113688967,1
Ndufb2,0.5534248986816724,1
Ndufs5,0.5534248919356587,1
Vcp,0.5534248594893401,1
Snx3,0.5534248474273207,1
Cope,0.5534248104808792,1
Acadl,0.5534248065969724,1
Ap2s1,0.5534247338697196,1
H2afv,0.5534247308351066,1
Pak2,0.5534246752115163,1
Grb2,0.5534246566786422,1
Pafah1b1,0.5534245813811142,1
Actr2,0.5534245787073183,1
Fkbp8,0.5534245494847588,1
Tmed5,0.5534245355947002,1
Cwc15,0.5534245059113823,1
Ccni,0.5534244375761361,1
Arpp19,0.5435902996751127,1
Psma5,0.543590222734398,1
Eloc,0.5435901890617986,1
Nudt21,0.5435901820267911,1
Bax,0.5435901700721232,1
Tra2b,0.5435901115530758,1
Uqcrfs1,0.543590084184957,1
Cct8,0.5435900311222467,1
Hnrnpd,0.5435900265386056,1
Snrpd3,0.5435899750323834,1
Raly,0.543589968212544,1
Tcp1,0.543589955262088,1
Ndufb3,0.5435899189753645,1
Tmem14c,0.5435899164596862,1
Cct4,0.543589896656067,1
Gtf2h5,0.5435898864540045,1
Fkbp3,0.5435898365601007,1
Ap2m1,0.5435898353226656,1
Hprt,0.5435898188105573,1
Sf3b5,0.5435898127322494,1
Ndufs6,0.5435898097773544,1
Ddost,0.5435897944579177,1
Fam49b,0.5435897890385712,1
Sh3glb1,0.5435897873990139,1
Ssr2,0.5435897839013738,1
Ndufc1,0.543589758118457,1
Khdrbs1,0.5435897196424444,1
Hdac1,0.5435897163496815,1
Chchd10,0.5435897081631577,1
Manf,0.5435897053065517,1
Ube2l3,0.5435896958700976,1
Bag1,0.5435896905071212,1
Ppp4c,0.5435896809245533,1
Aurkaip1,0.5435896755670043,1
Snrnp70,0.5435896709342533,1
Apobec3,0.54358966984105,1
Sf3b2,0.543589650853244,1
Bola2,0.5435896454414542,1
Ewsr1,0.5435896354217745,1
Canx,0.5435896184189104,1
Uqcrc1,0.5435896025328844,1
Stk39,0.5435895921858005,1
Emg1,0.5435895902088601,1
Pa2g4,0.5435895845697761,1
Hspa4,0.5435895791157827,1
P4hb,0.5435895776260016,1
Ywhab,0.543589575623372,1
Trir,0.5435895586914092,1
Hnrnpdl,0.5435895465827469,1
Ndufa12,0.5435895366353978,1
Npm3,0.5435895361511104,1
Srsf11,0.5435895191211157,1
Polr2l,0.5435895158457071,1
Ube2m,0.5435895147660377,1
Srrm1,0.543589512750191,1
Lsm6,0.5435894953985084,1
Lsm5,0.5435894892357506,1
U2af1,0.5435894867910849,1
Cct6a,0.5435894828857272,1
Mrps14,0.5435894633740713,1
Sept11,0.5435894548921653,1
Snrpc,0.5435894518558692,1
Phb2,0.5435894389604962,1
Ndufv2,0.5435894325867564,1
Dhx9,0.5435894135490733,1
Psma1,0.5435893928555857,1
Lmnb1,0.5435893920502907,1
Psmc3,0.5435893490101149,1
Anapc11,0.5435893396032082,1
Eif2s1,0.5435893197273728,1
Nhp2,0.5435893117496758,1
G3bp1,0.5435893025584623,1
Ddx39b,0.5435893021529274,1
Eif1ax,0.5435892963410199,1
Dnajc9,0.5435892546411885,1
Nono,0.5435892530988811,1
Fbl,0.5435892360755337,1
Timm23,0.54358921456977,1
Siva1,0.5435891381625257,1
Slbp,0.5435891203655933,1
Cyc1,0.5435890931039425,1
C1qbp,0.5435890860011502,1
Ndufab1,0.5435890811816629,1
Nutf2,0.5435890145728207,1
Impdh2,0.543588992831499,1
Ptges3,0.5435889597405125,1
Nucks1,0.5435889148107098,1
Rbbp7,0.5435889123671,1
Rbbp4,0.5435888977120393,1
Cdk4,0.5435888333330546,1
Dek,0.5435887576387248,1
Anp32e,0.5435886488468812,1
Cks1b,0.5435885586322569,1
Tuba1c,0.5435884932053295,1
Ube2c,0.5435884927517067,1
H2afx,0.543588313175505,1
Birc5,0.5435882962477945,1
Top2a,0.5435872465292315,1
Hist1h1b,0.5435865881290213,1
Pclaf,0.5435863239359194,1
Ctnnb1,0.5348837209302325,1
Ndufs8,0.5338501103892878,1
Ptpn6,0.5297297106719339,1
Kpna4,0.5278558148530041,1
Rbl2,0.5278557942658035,1
Spn,0.5278557740876004,1
Gnai3,0.5278557694955912,1
Nktr,0.5218074266098947,1
Ube3a,0.5218074228393862,1
Imp3,0.5218074041027115,1
Brd4,0.5218074040919568,1
Nars,0.5218073884303615,1
Birc6,0.5218073757499239,1
Cd96,0.5218073694700962,1
Sf3b3,0.52180735338776,1
Ddx21,0.5218073304747765,1
Prdx2,0.520091839889243,1
Cst3,0.5200914351071351,1
Arf4,0.5200913763842743,1
Ier2,0.5200912044355149,1
Btg2,0.5189394057516848,1
Sp140,0.5151515151515151,1
Tnks2,0.5147653951011993,1
Dusp2,0.5142942188703469,1
Lrrfip1,0.5116279044692973,1
Arhgef1,0.5116278967923863,1
Pde4d,0.4985224214989384,1
Nop10,0.4970149851609596,1
Rwdd1,0.4970149668322761,1
