gene,objective function,constraint
Rps6,14.814814814814813,0
Tbx21,14.814814814814813,0
Runx3,14.814814814814813,0
Klf2,14.814814814814813,0
Ep300,14.814814814814813,0
Eef2,14.814814814814813,0
Isy1,12.466333475319749,0
Serinc3,12.466326733484914,0
Rpl12,12.414161703803043,1
mt-Co3,12.414158847006881,1
Rpl14,12.414156364116922,1
Cd52,12.414156055330505,1
Hspa8,12.414149033766911,1
Rpl24,12.414147756298098,1
Rps27,12.414142972689877,1
Rpl6,12.414136447864998,1
Nkg7,12.414135381130647,1
Rpl3,12.414135006625717,1
Ubb,12.414131089028297,1
Rpl38,12.414131058054904,1
H2-D1,12.414129702976012,1
mt-Co1,12.414129314451339,1
Rpl29,12.414127912383345,1
Rpl10,12.414127494418972,1
Rps21,12.414126145573098,1
B2m,12.414125749332872,1
AW112010,12.414121831920834,1
Rps28,12.414120284701255,1
Gapdh,12.414120095762494,1
Gm42418,12.414118423624211,1
Rpl26,12.414118365031074,1
Rpl13a,12.414116542804075,1
Rpl10a,12.414116357088918,1
Hsp90ab1,12.414115902698358,1
H2-K1,12.414115872948415,1
Rps3,12.414115421705803,1
Rpl15,12.414115145199112,1
Rpl9,12.414114632601242,1
Rps14,12.414114428753308,1
Rpl8,12.414111825042657,1
Ptma,12.414111613571263,1
Rpl35a,12.414110850895991,1
Rps29,12.414110633115232,1
Rps19,12.414109763273705,1
Rplp2,12.414109164252967,1
Rpl36,12.414108646076725,1
Rpl35,12.414108602690117,1
Rps9,12.414108547439369,1
Rps23,12.41410714641421,1
Rpl21,12.414106803266655,1
Rps4x,12.414105472501292,1
Rpl30,12.414105400913952,1
Rpl17,12.414105096056703,1
Rpl27,12.414105040447367,1
Rps18,12.414104982852239,1
Rpl11,12.414104632278976,1
Lgals1,12.414104461035175,1
Rps3a1,12.414104164835939,1
Rpl18,12.414104149083988,1
Rpl19,12.414103860112471,1
Rps5,12.414103682312485,1
Rps7,12.414103549494024,1
Rps12,12.414103387866433,1
Rps27a,12.414102307901405,1
Rpl37,12.414101378965924,1
Rpl28,12.41410115933268,1
Rpl37a,12.414100775249599,1
Rpl27a,12.414100752806183,1
Rps11,12.414100563993719,1
Rpl18a,12.414100341065842,1
Rplp1,12.414099618693497,1
Rps2,12.414099606447449,1
Pfn1,12.414099229564759,1
Rps13,12.414099202687336,1
Rps10,12.414099125277259,1
Rpl34,12.414099097184282,1
Ppia,12.414098944748373,1
Rpl39,12.414098372699018,1
Rps16,12.414097824376375,1
Rplp0,12.414097039115344,1
Rpl23,12.4140969776499,1
Rps20,12.414096465229216,1
Rps26,12.414096259213409,1
Actg1,12.41409586291873,1
Rpsa,12.41409571196079,1
Rpl32,12.414095254305707,1
Rps24,12.414095092553644,1
Fau,12.414094669234085,1
Rps8,12.4140942539406,1
Eef1a1,12.414093808261645,1
Tmsb10,12.414093638520322,1
Rpl41,12.414093464561105,1
Rpl13,12.414093291221212,1
Actb,12.414093028032388,1
Rps15a,12.414091672281106,1
Tmsb4x,12.414091134743046,1
Tgfb1,11.76386106636796,1
Psmb10,11.691498616556498,1
Tmem256,11.691495451074932,1
Tomm22,11.69149478032657,1
D8Ertd738e,11.691494331273269,1
Ostc,11.691493517172304,1
Plek,11.691492861039126,1
Leprotl1,11.69149235283838,1
H2-Q4,11.691492044704354,1
Selenof,11.691491844833415,1
Ghitm,11.631630187620233,1
Hilpda,10.817465839039691,1
Spp1,10.817444551466819,1
Ier5l,10.756738668195478,1
Rgs2,10.756737661625412,1
Cd3g,10.729561671076107,1
Ccl5,10.729548527316862,1
S100a6,10.729535506296102,1
Tsc22d3,10.706815172419859,1
Dgkz,10.706815159598543,1
Wac,10.706815146277492,1
Pik3r1,10.706815089702845,1
Prpf8,10.557000618850559,1
Rpl7a,10.529714393611954,1
Rack1,10.529713099241924,1
Rpl22,10.529712415342429,1
Rpl36a,10.529705505254139,1
mt-Co2,10.52970296698281,1
Fth1,10.529700641867656,1
Uba52,10.529700442696301,1
Eif1,10.529697642607088,1
Cfl1,10.529687474455368,1
Myl6,10.52968526154025,1
Cox8a,10.529683440594807,1
Naca,10.529681743048437,1
Gzmb,10.529674529587547,1
H3f3b,10.529674529136223,1
Sh3bgrl3,10.529674146142419,1
Npm1,10.529673563948538,1
S100a11,10.529668715494937,1
Coro1a,10.529665513278484,1
Ldha,10.529663169817667,1
Rpl5,10.529662865737361,1
Rpl4,10.529661336720974,1
Atp5e,10.529660860164958,1
Cox4i1,10.529653164974942,1
mt-Cytb,10.529650090922958,1
Mif,10.529640058153928,1
Aldoa,10.529639115882604,1
Rps15,10.529631177549856,1
Calm1,10.529630812228316,1
Eef1b2,10.529629711884605,1
Crip1,10.529619467632191,1
Rbm3,10.52961440435147,1
Rps17,10.52960201653862,1
Cebpb,10.489491899515686,1
Ndufb10,10.489490197147235,1
Ctsb,10.489486362626394,1
Irf1,10.051027939433244,1
Sin3b,9.991161301846786,1
G3bp2,9.991160511038887,1
Mt2,9.991160443074877,1
Yy1,9.893411871068635,1
Foxm1,9.772940658852061,1
Ube2v1,9.677767734500797,1
Itgal,9.506706111430354,1
Os9,9.506705931614437,1
Arhgap30,9.380317460145244,1
Batf,9.344741465566822,0
Park7,9.34302794568183,1
Psma4,9.343018304827009,1
Sdhb,9.343017330810236,1
Tmed9,9.343017320036484,1
Ppp2ca,9.343016625214139,1
Gm26917,9.343016005296972,1
Ndufb2,9.343015829186077,1
Ndufs5,9.343015731003156,1
Snx3,9.343015381597063,1
Vcp,9.343015363779706,1
Cope,9.343014682346256,1
Acadl,9.3430146083892,1
H2afv,9.343014316615633,1
Ap2s1,9.343013940094762,1
Pak2,9.343012946633703,1
Grb2,9.343012858692077,1
Pafah1b1,9.343011996700804,1
