gene,progenitor,effector,terminal exhausted,cycling,other,objective function
Litaf,0.071625344352617,0.3526170798898072,0.2369146005509642,0.3278236914600551,0.0110192837465564,2.822769408488101
Dvl1,0.042016806722689,0.307563025210084,0.2672268907563025,0.3647058823529411,0.0184873949579831,2.1666168135166726
Arid5b,0.011240632805995,0.0445462114904246,0.4129891756869275,0.5137385512073273,0.0174854288093255,0.37140928291003306
Crem,0.0341655716162943,0.4257555847568988,0.2141918528252299,0.3088042049934297,0.0170827858081471,2.640583916930012
Satb1,0.1924603174603174,0.2599206349206349,0.2063492063492063,0.3194444444444444,0.0218253968253968,4.247032226477964
Nr4a2,0.1970588235294117,0.0794117647058823,0.3,0.4102941176470588,0.013235294117647,3.387240816138566
Irf2,0.0346320346320346,0.1627705627705627,0.3333333333333333,0.4519480519480519,0.0173160173160173,1.3783051403987627
Id2,0.2735042735042735,0.2051282051282051,0.2136752136752136,0.2905982905982906,0.017094017094017,5.089449563353908
Ep300,1.0,0.0,0.0,0.0,0.0,14.814814814814813
Lrp1,0.3055555555555556,0.1666666666666666,0.375,0.1388888888888889,0.0138888888888888,4.479199277288835
Ezh2,0.2307692307692307,0.3461538461538461,0.1538461538461538,0.2692307692307692,0.0,5.265257330247252
Nr3c1,0.0506666666666666,0.0906666666666666,0.312,0.5333333333333333,0.0133333333333333,1.5476453413672338
Tcf7,0.1043771043771043,0.2929292929292929,0.3131313131313131,0.2760942760942761,0.0134680134680134,2.6482242678195798
Dkk3,0.1875,0.2083333333333333,0.2291666666666666,0.375,0.0,3.996421808849388
Oxnad1,0.423728813559322,0.2542372881355932,0.135593220338983,0.1864406779661017,0.0,7.5326900459216555
Sub1,0.1119402985074626,0.1940298507462686,0.3059701492537313,0.373134328358209,0.0149253731343283,2.558986051454512
Rps6,1.0,0.0,0.0,0.0,0.0,14.814814814814813
Sp140,0.5151515151515151,0.1212121212121212,0.1212121212121212,0.2424242424242424,0.0,8.441407190232344
Batf,0.6666666666666666,0.0,0.1666666666666666,0.0,0.1666666666666666,9.344741465566822
Ldhb,0.1030927835051546,0.134020618556701,0.345360824742268,0.4123711340206185,0.0051546391752577,2.116124881264474
Tbx21,1.0,0.0,0.0,0.0,0.0,14.814814814814813
Eomes,0.4375,0.3125,0.0625,0.1875,0.0,8.250474295253479
Il12rb1,0.032520325203252,0.1869918699186991,0.3159117305458769,0.4506387921022067,0.0139372822299651,1.5147750563677502
Elf1,0.2602739726027397,0.3424657534246575,0.1780821917808219,0.2054794520547945,0.0136986301369863,5.444855107621572
Foxm1,0.6428571428571429,0.0714285714285714,0.1428571428571428,0.1428571428571428,0.0,9.772940658852061
Foxp1,0.1111111111111111,0.2091503267973856,0.326797385620915,0.3333333333333333,0.0196078431372549,2.4508440485349405
Runx2,0.0343839541547277,0.2808022922636103,0.2750716332378223,0.3954154727793696,0.0143266475644699,1.979212874016976
Ctnnb1,0.5348837209302325,0.2093023255813953,0.1395348837209302,0.1162790697674418,0.0,8.773632137193502
Sp100,0.0244755244755244,0.2884615384615384,0.2814685314685314,0.3916083916083916,0.0139860139860139,1.838825347730501
Fzd3,0.1942446043165467,0.2014388489208633,0.2230215827338129,0.3597122302158273,0.0215827338129496,4.044082357995713
Egr1,0.2746781115879828,0.278969957081545,0.2317596566523605,0.2145922746781116,0.0,5.207422713100295
Lef1,0.27,0.28,0.18,0.26,0.01,5.423991085306459
Gsk3b,0.2978723404255319,0.1106382978723404,0.251063829787234,0.3106382978723404,0.0297872340425531,4.931671756627933
